test_id,query_id,pre1_ns,pre2_ns,pre3_ns,pre1_fix_ns,post1_ipc_ns,post2_ipc_ns,post3_ipc_ns,post4_ipc_ns,post1_tcp_ns,post2_tcp_ns,post3_tcp_ns,request_counter
2122,1,415628297,395151775,393593295,394152472,555128437,559021396,538208210,543470768,391439119,384625811,392562680,95
2122,2,40317455,34140093,34375318,36094705,38608605,42395892,38194795,37327620,24538808,24618695,23283806,136
2122,3,41181377,38623033,43547826,38027181,28110813,29123396,28617380,33283716,29855557,28284950,27336734,92
2122,4,28008046,29725549,33814726,25187088,14330061,19709007,20344803,15610668,15573708,14602801,14704958,92
2122,5,27285552,24452850,24576816,26561874,14434548,13494372,18469870,14144372,13708017,13852430,14118868,94
2122,6,30942094,24725645,29583469,30824623,18916723,13395936,13951087,13479698,14081545,13346208,14386978,94
2122,7,25898734,25016879,24839734,26465201,15364680,19374785,14864345,21080917,15366790,15426582,16039721,134
2122,8,26175966,24292508,30221781,24721861,15705734,15407673,15258616,16127394,14839407,15204785,15933902,134
2122,9,26449817,25377154,24672994,24365871,13866717,13640720,13515971,13350268,13875828,13978325,13656247,94
2122,10,35047854,32676854,34044323,33828588,22977691,22680887,24420835,23130034,23186865,22747655,24107244,94
2122,11,47892290,46790362,47115986,47294827,37569128,39589987,40886065,39225455,39493994,36456262,37417290,99
2122,12,34054442,32931630,32906059,32291672,23239667,22387149,24587683,22623796,25258983,22221266,23205092,125
2122,13,26204611,23095580,23079263,23551806,10070213,10097811,9814671,10442137,11066897,9749939,10187539,1
2122,14,36311660,28171560,28743936,29470932,16855944,20362731,18622182,17938839,18901876,17300977,18565625,96
2122,15,24889206,21864815,21965212,22220928,8754995,8728724,9060434,9048811,9031833,8892470,9044412,1
2122,16,31020120,26042930,27176288,27208503,15843136,15472290,17133419,20553063,20543747,15718944,15890960,94
2122,17,23743213,20872116,21505707,22740361,8150432,8000620,8292264,8072151,8285348,8251630,8518197,1
2122,18,33506120,30381817,27424045,28567413,16584988,14739018,20575907,16963523,14840984,15242127,15600255,86
2122,19,30621184,25279552,24408100,25475914,30040165,13439797,14087614,14009695,13757557,14012697,14740173,92
2122,20,27083639,25812728,26247479,30139729,31293953,19705561,15686872,16623641,16282921,15096362,16358727,96
2122,21,32040459,30089264,34904896,30550466,37487571,20682152,20200791,20015202,19778443,19688167,20770418,96
2122,22,28425726,27944684,28057222,36240507,33694085,17219274,17649407,18563538,17526060,16769309,17954312,96
2122,23,31681230,29071676,27495669,30315061,32086944,16217804,16339125,16077250,15610080,15613427,16406319,102
2122,24,25717846,27768098,25377041,28331144,31280236,15775348,16284231,16101712,15883558,16157617,15860917,104
2122,25,25598350,26990061,25973806,28323103,32842047,15064771,14925791,15003868,16253729,16642510,16308589,104
2122,26,27754024,26027291,26071941,27735505,30751331,14714986,14996283,15187121,17757162,15383768,16059630,104
2122,27,26827278,26070833,25780500,29557449,30084478,14483622,15347078,15877968,15954544,15369269,15336323,104
2122,28,27003157,27131925,30766008,27007894,35496613,15326189,15783553,20667924,16403256,16016803,16039136,98
2122,29,27671370,26849938,25959720,28078603,30448122,14723519,15014034,15220997,15965618,19606655,16023474,92
2122,30,26015151,30463948,27192979,28792903,29573992,15112519,15290006,15671885,15982273,16284482,16379154,100
2122,31,24340433,30620011,30071269,29888358,33623649,18495689,13722667,13556502,14472601,19140143,14121258,92
2122,32,30707970,24979694,24937490,25441094,27337799,13512989,13344607,13093303,14026425,13552528,13857385,92
2122,33,25621627,25377992,26312584,26392416,28763025,14234525,15340537,14586690,15198230,15308678,16519913,92
2122,34,26205352,26615379,26019984,24920452,28077507,14581528,14708006,13453723,15334562,14957779,15681271,92
2122,35,29067837,24278216,24565364,29025003,32147638,13549174,13976037,13533325,20192419,13634986,13856796,92
